NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_MESORREGIAO;CO_MESORREGIAO;NO_DISTRITO;CO_DISTRITO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DV_ENTIDADE;COD_ENTIDADE
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL SILVA E BARRA JARDIM DE INFANCIA TOCA DO COELHINHO;33171548;4;1.0;1;0.0;0;331715480
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL DO PARQUE MAMBUCABA;33171823;4;1.0;1;0.0;0;331718230
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUCACIONAL INACIO MEDEIROS LTDA;33172030;4;1.0;1;0.0;0;331720300
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;SENAC ANGRA DOS REIS;33175608;4;;1;;0;331756080
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM ZITA DE OLIVEIRA SOARES;33177813;3;;1;0.0;0;331778130
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEC - CENTRO EDUCACIONAL COSTA VERDE;33183880;4;1.0;1;0.0;0;331838800
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI VALE DA BANQUETA;33184356;3;;1;0.0;0;331843560
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI BRACUHY PROFSILVANA HELENA JERONIMO DE ANDRADE SOARES;33184364;3;;1;0.0;0;331843640
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COOPERATIVA DE ENSINO SAO BENTO;33185182;4;1.0;1;0.0;0;331851820
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;SENAI ANGRA DOS REIS;33186588;4;1.0;1;0.0;0;331865880
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM JULIO CESAR DE ALMEIDA LARANGEIRA;33187312;3;;1;0.0;0;331873120
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;OSVALDO AFONSO REDE DE ENSINO LTDA JARDIM DE INFANCIA TIO PATINHAS;33191140;4;1.0;1;0.0;0;331911400
